Asset,Model,RMSE,MAE,MAPE,R2,Dir_Acc
Bitcoin,Naive (t=t-1),1421.1200396382999,1093.4788431677018,1.5824458535360926,0.9462133389276158,0.0
Bitcoin,"ARIMA(1,1,0)",1426.8941894052593,1097.3557232025853,1.5886018053965612,0.9457753700432029,45.962732919254655
Bitcoin,Ensemble (0.3A+0.7G),1871.710485185084,1539.2775677632708,2.2248408848921106,0.9066981178794529,47.82608695652174
Bitcoin,Random Forest,2196.773392779635,1717.341149186686,2.5148352445789923,0.8714761940817093,49.68944099378882
Bitcoin,GRU (Optimized),2211.4581222593433,1813.5053944823571,2.6185478067064385,0.8697521696995357,47.82608695652174
Bitcoin,Linear Regression,2213.0610342453515,1736.529833136519,2.5321410175940766,0.8695632884642854,46.58385093167702
Gold,"ARIMA(1,1,0)",66.55241671993711,43.52889230474189,0.9581725304026585,0.9666441520403362,48.42767295597484
Gold,Naive (t=t-1),66.79467560160998,43.440259249705186,0.9555989001794583,0.9664008713818855,29.559748427672954
Gold,Ensemble (0.3A+0.7G),83.26365970577017,60.14262915863514,1.3321252965019181,0.9477898049681026,35.84905660377358
Gold,Random Forest,93.47477359225832,69.77472211768647,1.5377950414185,0.9341988978282987,33.9622641509434
Gold,GRU (Optimized),96.10664320453189,71.30861001539535,1.5803853184830772,0.930441350507679,35.84905660377358
Gold,Linear Regression,131.0272183490206,95.4028714656136,2.1201044011122767,0.8707092761902603,38.36477987421384
Silver,Naive (t=t-1),2.182635926686991,1.4009998418107819,1.901092750840503,0.945367213430686,29.11392405063291
Silver,"ARIMA(1,1,0)",2.207702749468742,1.4778589032847624,2.0030036492156755,0.944105129992706,43.67088607594937
Silver,Ensemble (0.3A+0.7G),2.7512826883616044,2.0499806076270515,2.783093399129031,0.9131917133736915,33.54430379746836
Silver,Random Forest,2.9323174123049447,2.1602190501113947,2.9230509256214194,0.9013918724965337,33.54430379746836
Silver,Linear Regression,3.0965210116449873,2.2774031352577673,3.105757650103417,0.890038965744681,41.139240506329116
Silver,GRU (Optimized),3.141315773222691,2.361879213764927,3.2112243295068095,0.8868345268834495,33.54430379746836
