asset,model,rmse,mae,r2,train_samples,test_samples
Bitcoin,LinearRegression,0.03913495735313488,0.030165674959488423,0.8472474913942023,653,93
Bitcoin,RandomForest,0.05447221464884566,0.04055091261184293,0.7040565812303821,653,93
Bitcoin,GradientBoosting,0.04852501899836555,0.03540069488298075,0.7651502784142384,653,93
Gold,LinearRegression,0.08822585978184777,0.06386996074180618,0.6468325524079784,652,93
Gold,RandomForest,0.9676915622646465,0.9560694160834037,-41.4876564183626,652,93
Gold,GradientBoosting,0.9674292027711027,0.955942730006465,-41.464621126193755,652,93
Silver,LinearRegression,0.44927643505161285,0.3416356248562911,0.49101882188419665,652,93
Silver,RandomForest,3.000536000094512,2.9322872549049834,-21.702418538917456,652,93
Silver,GradientBoosting,3.0754232461915483,3.008035727293624,-22.84977180136211,652,93
