asset,model,feature,importance,task
Bitcoin,LightGBM,vix_return,0.028649541407691666,return_1d
Bitcoin,LightGBM,fear_greed,0.04134988786097038,return_1d
Bitcoin,CatBoost,log_return,0.07513227104988561,return_1d
Bitcoin,CatBoost,RSI,0.039565813887734655,return_1d
Bitcoin,CatBoost,ADX,0.027127266811186584,return_1d
Bitcoin,CatBoost,ROC,0.024381060748087345,return_1d
Bitcoin,CatBoost,ema14_ratio,0.017696974921225045,return_1d
Bitcoin,CatBoost,ema30_ratio,0.04720932206505479,return_1d
Bitcoin,CatBoost,macd_norm,0.02479242063623544,return_1d
Bitcoin,CatBoost,macd_hist_norm,0.038479534586600674,return_1d
Bitcoin,CatBoost,bb_pctb,0.03648727009707501,return_1d
Bitcoin,CatBoost,bb_width,0.013793941389319112,return_1d
Bitcoin,CatBoost,atr_norm,0.04396519611199087,return_1d
Bitcoin,CatBoost,hl_range,0.023364282393415727,return_1d
Bitcoin,CatBoost,return_1d,0.07879887268617192,return_1d
Bitcoin,CatBoost,return_2d,0.020212379844924865,return_1d
Bitcoin,CatBoost,return_5d,0.024355510693458617,return_1d
Bitcoin,CatBoost,return_10d,0.009975998894323627,return_1d
Bitcoin,CatBoost,return_20d,0.02898303041062424,return_1d
Bitcoin,CatBoost,volatility_10d,0.02266772362999084,return_1d
Bitcoin,CatBoost,volatility_30d,0.015733375922603255,return_1d
Bitcoin,CatBoost,rv_1d,0.06287654347486474,return_1d
Bitcoin,CatBoost,rv_5d,0.022991171515005678,return_1d
Bitcoin,CatBoost,rv_22d,0.015600948692987351,return_1d
Bitcoin,CatBoost,ewma_vol,0.02428593866743707,return_1d
Bitcoin,CatBoost,dow_sin,0.07832242074603757,return_1d
Bitcoin,CatBoost,dow_cos,0.0382127119556065,return_1d
Bitcoin,CatBoost,log_volume_change,0.023487214192245174,return_1d
Bitcoin,CatBoost,sp500_return,0.06672377323568747,return_1d
Bitcoin,CatBoost,vix_return,0.03608980509130084,return_1d
Bitcoin,CatBoost,fear_greed,0.01868722564891935,return_1d
Gold,Ridge,log_return,0.3071728112163371,return_1d
Gold,Ridge,RSI,0.3690519597509205,return_1d
Gold,Ridge,ADX,0.040014702363726805,return_1d
Gold,Ridge,ROC,0.012016762993567482,return_1d
Gold,Ridge,ema14_ratio,0.4222975052026348,return_1d
Gold,Ridge,ema30_ratio,0.3549126612482746,return_1d
Gold,Ridge,macd_norm,0.06985708933617257,return_1d
Gold,Ridge,macd_hist_norm,0.35538923309163173,return_1d
Gold,Ridge,bb_pctb,0.42674066300778885,return_1d
Gold,Ridge,bb_width,0.17874064586701963,return_1d
Gold,Ridge,atr_norm,0.03396777705097375,return_1d
Gold,Ridge,hl_range,0.48325609768111377,return_1d
Gold,Ridge,return_1d,0.253654604104079,return_1d
Gold,Ridge,return_2d,0.16853195568073268,return_1d
Gold,Ridge,return_5d,0.33040833575315876,return_1d
Gold,Ridge,return_10d,0.2404119195432304,return_1d
Gold,Ridge,return_20d,0.5173336696307879,return_1d
Gold,Ridge,volatility_10d,0.07759531164138342,return_1d
Gold,Ridge,volatility_30d,0.025907462717105326,return_1d
Gold,Ridge,rv_1d,0.17379720386049646,return_1d
Gold,Ridge,rv_5d,0.29924241017521225,return_1d
Gold,Ridge,rv_22d,0.027098900327781627,return_1d
Gold,Ridge,ewma_vol,0.08247828887548526,return_1d
Gold,Ridge,dxy_return,0.17970743285877835,return_1d
Gold,Ridge,oil_return,0.15232883130240185,return_1d
Gold,Ridge,tnx_return,0.5989622451761077,return_1d
Gold,Ridge,sp500_return,0.03718397074656034,return_1d
Gold,Ridge,vix_return,0.4530360512840752,return_1d
Gold,RandomForest,log_return,0.016377151692204224,return_1d
Gold,RandomForest,RSI,0.01057923521468162,return_1d
Gold,RandomForest,ADX,0.0061504811362000774,return_1d
Gold,RandomForest,ROC,0.010116481648570944,return_1d
Gold,RandomForest,ema14_ratio,0.05561301210760314,return_1d
Gold,RandomForest,ema30_ratio,0.021618291120260057,return_1d
Gold,RandomForest,macd_norm,0.02960021468221082,return_1d
Gold,RandomForest,macd_hist_norm,0.010166725900491662,return_1d
Gold,RandomForest,bb_pctb,0.001989815939945951,return_1d
Gold,RandomForest,bb_width,0.07329594161863293,return_1d
Gold,RandomForest,atr_norm,0.01917512903110676,return_1d
Gold,RandomForest,hl_range,0.03950203865510052,return_1d
Gold,RandomForest,return_1d,0.026145698019081648,return_1d
Gold,RandomForest,return_2d,0.009160492503315392,return_1d
Gold,RandomForest,return_5d,0.01379400342989292,return_1d
Gold,RandomForest,return_10d,0.007019182195563119,return_1d
Gold,RandomForest,return_20d,0.23294421528383924,return_1d
Gold,RandomForest,volatility_10d,0.017724742524738702,return_1d
Gold,RandomForest,volatility_30d,0.0159736563470849,return_1d
Gold,RandomForest,rv_1d,0.002762993979747414,return_1d
Gold,RandomForest,rv_5d,0.023981681104028294,return_1d
Gold,RandomForest,rv_22d,0.006985186318721936,return_1d
Gold,RandomForest,ewma_vol,0.005448297878178424,return_1d
Gold,RandomForest,dxy_return,0.02306126548091214,return_1d
Gold,RandomForest,oil_return,0.012127872994728757,return_1d
Gold,RandomForest,tnx_return,0.11763361064379971,return_1d
Gold,RandomForest,sp500_return,0.09837665493428904,return_1d
Gold,RandomForest,vix_return,0.09267592761506964,return_1d
Gold,LightGBM,log_return,0.05279330696638245,return_1d
Gold,LightGBM,RSI,0.0034804053178810715,return_1d
Gold,LightGBM,ADX,0.005594689158925979,return_1d
Gold,LightGBM,ROC,0.006661139827469859,return_1d
Gold,LightGBM,ema14_ratio,0.01091450115099395,return_1d
Gold,LightGBM,ema30_ratio,0.0245624078710693,return_1d
Gold,LightGBM,macd_norm,0.013976280129784744,return_1d
Gold,LightGBM,macd_hist_norm,0.024557223334757815,return_1d
Gold,LightGBM,bb_pctb,0.07374788135073158,return_1d
Gold,LightGBM,bb_width,0.06189307472575985,return_1d
Gold,LightGBM,atr_norm,0.032672958931899906,return_1d
Gold,LightGBM,hl_range,0.006849892971506226,return_1d
Gold,LightGBM,return_1d,0.006754872066988325,return_1d
Gold,LightGBM,return_2d,0.004696536033739632,return_1d
Gold,LightGBM,return_5d,0.015586882042804437,return_1d
Gold,LightGBM,return_10d,0.02509924454033193,return_1d
Gold,LightGBM,return_20d,0.18099843722892714,return_1d
Gold,LightGBM,volatility_10d,0.01970170974486677,return_1d
Gold,LightGBM,volatility_30d,0.01709205072916241,return_1d
Gold,LightGBM,rv_1d,0.01984261867553923,return_1d
Gold,LightGBM,rv_5d,0.048313718211690025,return_1d
Gold,LightGBM,rv_22d,0.022253661095627313,return_1d
Gold,LightGBM,ewma_vol,0.023083680575982597,return_1d
Gold,LightGBM,dxy_return,0.013880334197686105,return_1d
Gold,LightGBM,oil_return,0.014183221120018711,return_1d
Gold,LightGBM,tnx_return,0.11700055372162364,return_1d
Gold,LightGBM,sp500_return,0.056911242658683,return_1d
Gold,LightGBM,vix_return,0.09689747561916599,return_1d
Gold,CatBoost,log_return,0.03456657728500209,return_1d
Gold,CatBoost,RSI,0.02204124314931907,return_1d
Gold,CatBoost,ADX,0.017290959236056155,return_1d
Gold,CatBoost,ROC,0.025071788973698616,return_1d
Gold,CatBoost,ema14_ratio,0.01964786142564532,return_1d
Gold,CatBoost,ema30_ratio,0.02577291088296003,return_1d
Gold,CatBoost,macd_norm,0.03224514259532235,return_1d
Gold,CatBoost,macd_hist_norm,0.015556837701275177,return_1d
Gold,CatBoost,bb_pctb,0.014021299371701119,return_1d
Gold,CatBoost,bb_width,0.03799386822629781,return_1d
Gold,CatBoost,atr_norm,0.02731993567793465,return_1d
Gold,CatBoost,hl_range,0.07606179684425379,return_1d
Gold,CatBoost,return_1d,0.039852579859984756,return_1d
Gold,CatBoost,return_2d,0.02265102232540777,return_1d
Gold,CatBoost,return_5d,0.03180765914626078,return_1d
Gold,CatBoost,return_10d,0.053176855598682654,return_1d
Gold,CatBoost,return_20d,0.13627168283949773,return_1d
Gold,CatBoost,volatility_10d,0.013908017575192383,return_1d
Gold,CatBoost,volatility_30d,0.016888376800389793,return_1d
Gold,CatBoost,rv_1d,0.02710250860314497,return_1d
Gold,CatBoost,rv_5d,0.017670836670645517,return_1d
Gold,CatBoost,rv_22d,0.01258246119779821,return_1d
Gold,CatBoost,ewma_vol,0.030312279779950706,return_1d
Gold,CatBoost,dxy_return,0.026505061760542018,return_1d
Gold,CatBoost,oil_return,0.028186772624528195,return_1d
Gold,CatBoost,tnx_return,0.07316962808745273,return_1d
Gold,CatBoost,sp500_return,0.07232729417558356,return_1d
Gold,CatBoost,vix_return,0.049996741585471946,return_1d
Silver,Ridge,log_return,0.11772981081319166,return_1d
Silver,Ridge,RSI,0.0030494942852698015,return_1d
Silver,Ridge,ADX,0.07073112541050977,return_1d
Silver,Ridge,ROC,0.028032828983974502,return_1d
Silver,Ridge,ema14_ratio,0.07099053452441333,return_1d
Silver,Ridge,ema30_ratio,0.06406242493851927,return_1d
Silver,Ridge,macd_norm,0.011358498894955858,return_1d
Silver,Ridge,macd_hist_norm,0.0337348197189658,return_1d
Silver,Ridge,bb_pctb,0.012686190853487291,return_1d
Silver,Ridge,bb_width,0.024922384707097962,return_1d
Silver,Ridge,atr_norm,0.04104109649918849,return_1d
Silver,Ridge,hl_range,0.0812890859706865,return_1d
Silver,Ridge,return_1d,0.02693579413704522,return_1d
Silver,Ridge,return_2d,0.02614272682530442,return_1d
Silver,Ridge,return_5d,0.06535444819783633,return_1d
Silver,Ridge,return_10d,0.020580060210315873,return_1d
Silver,Ridge,return_20d,0.03681978528042979,return_1d
Silver,Ridge,volatility_10d,0.024139442660521142,return_1d
Silver,Ridge,volatility_30d,0.01663827645240549,return_1d
Silver,Ridge,rv_1d,0.024458778596051837,return_1d
Silver,Ridge,rv_5d,0.047127697042661815,return_1d
Silver,Ridge,rv_22d,0.00302352026337862,return_1d
Silver,Ridge,ewma_vol,0.007286689717351217,return_1d
Silver,Ridge,dxy_return,0.026767129860632954,return_1d
Silver,Ridge,oil_return,0.03144049401903048,return_1d
Silver,Ridge,tnx_return,0.03716407250023239,return_1d
Silver,Ridge,sp500_return,0.061762302064714406,return_1d
Silver,Ridge,vix_return,0.14178149285047292,return_1d
Silver,Ridge,gold_return,0.035080227067371,return_1d
Silver,RandomForest,log_return,0.03885949969772588,return_1d
Silver,RandomForest,RSI,0.006668218034956821,return_1d
Silver,RandomForest,ADX,0.01924635600836225,return_1d
Silver,RandomForest,ROC,0.012503032175272889,return_1d
Silver,RandomForest,ema14_ratio,0.03504297561371867,return_1d
Silver,RandomForest,ema30_ratio,0.029332092506375577,return_1d
Silver,RandomForest,macd_norm,0.1457107769023552,return_1d
Silver,RandomForest,macd_hist_norm,0.06406642209940847,return_1d
Silver,RandomForest,bb_pctb,0.009699254587924915,return_1d
Silver,RandomForest,bb_width,0.11994020367142781,return_1d
Silver,RandomForest,atr_norm,0.025296911745160976,return_1d
Silver,RandomForest,hl_range,0.11558135237485,return_1d
Silver,RandomForest,return_1d,0.027735489757662966,return_1d
Silver,RandomForest,return_2d,0.017095340825350386,return_1d
Silver,RandomForest,return_5d,0.016067530047393183,return_1d
Silver,RandomForest,return_10d,0.014879671335871491,return_1d
Silver,RandomForest,return_20d,0.0349556035954891,return_1d
Silver,RandomForest,volatility_10d,0.019309460188524034,return_1d
Silver,RandomForest,volatility_30d,0.019770709245407077,return_1d
Silver,RandomForest,rv_1d,0.007243669567676781,return_1d
Silver,RandomForest,rv_5d,0.038391928409640085,return_1d
Silver,RandomForest,rv_22d,0.011078637387997909,return_1d
Silver,RandomForest,ewma_vol,0.010536287090993671,return_1d
Silver,RandomForest,dxy_return,0.013658027554535313,return_1d
Silver,RandomForest,oil_return,0.006805660158129978,return_1d
Silver,RandomForest,tnx_return,0.02270197904261374,return_1d
Silver,RandomForest,sp500_return,0.011895707824844594,return_1d
Silver,RandomForest,vix_return,0.09867389382109128,return_1d
Silver,RandomForest,gold_return,0.00725330872923897,return_1d
Silver,LightGBM,log_return,0.05710119205402413,return_1d
Silver,LightGBM,RSI,0.006929901267367396,return_1d
Silver,LightGBM,ADX,0.05310577893925468,return_1d
Silver,LightGBM,ROC,0.014424711870821684,return_1d
Silver,LightGBM,ema14_ratio,0.08476032459821677,return_1d
Silver,LightGBM,ema30_ratio,0.021127045514720767,return_1d
Silver,LightGBM,macd_norm,0.09988392020553458,return_1d
Silver,LightGBM,macd_hist_norm,0.06740743553433316,return_1d
Silver,LightGBM,bb_pctb,0.002104319932871895,return_1d
Silver,LightGBM,bb_width,0.0471250102939918,return_1d
Silver,LightGBM,atr_norm,0.02368597547569966,return_1d
Silver,LightGBM,hl_range,0.02052296733398857,return_1d
Silver,LightGBM,return_1d,0.047194830454236135,return_1d
Silver,LightGBM,return_2d,0.01993619322339265,return_1d
Silver,LightGBM,return_5d,0.02714124259047015,return_1d
Silver,LightGBM,return_10d,0.03426599252308129,return_1d
Silver,LightGBM,return_20d,0.020344486938768253,return_1d
Silver,LightGBM,volatility_10d,0.05850443529917975,return_1d
Silver,LightGBM,volatility_30d,0.037845828373117195,return_1d
Silver,LightGBM,rv_1d,0.005310781599154204,return_1d
Silver,LightGBM,rv_5d,0.04972431574109513,return_1d
Silver,LightGBM,rv_22d,0.00837015028488315,return_1d
Silver,LightGBM,ewma_vol,0.010941799322287277,return_1d
Silver,LightGBM,dxy_return,0.02179068674253595,return_1d
Silver,LightGBM,oil_return,0.011525871726736366,return_1d
Silver,LightGBM,tnx_return,0.030789915644767397,return_1d
Silver,LightGBM,sp500_return,0.015542045111711353,return_1d
Silver,LightGBM,vix_return,0.08361797405029193,return_1d
Silver,LightGBM,gold_return,0.018974867353466717,return_1d
Silver,CatBoost,log_return,0.05189262272483983,return_1d
Silver,CatBoost,RSI,0.026142090200944552,return_1d
Silver,CatBoost,ADX,0.018503754550479118,return_1d
Silver,CatBoost,ROC,0.012428012823360073,return_1d
Silver,CatBoost,ema14_ratio,0.14642073247297935,return_1d
Silver,CatBoost,ema30_ratio,0.028969737055963375,return_1d
Silver,CatBoost,macd_norm,0.03846526533685423,return_1d
Silver,CatBoost,macd_hist_norm,0.02267699057177078,return_1d
Silver,CatBoost,bb_pctb,0.020311286807323407,return_1d
Silver,CatBoost,bb_width,0.014098156002124112,return_1d
Silver,CatBoost,atr_norm,0.026170290728227803,return_1d
Silver,CatBoost,hl_range,0.039494714605491706,return_1d
Silver,CatBoost,return_1d,0.041152808690935044,return_1d
Silver,CatBoost,return_2d,0.04774291811514378,return_1d
Silver,CatBoost,return_5d,0.028824230314088456,return_1d
Silver,CatBoost,return_10d,0.011453692623749626,return_1d
Silver,CatBoost,return_20d,0.07352221317301343,return_1d
Silver,CatBoost,volatility_10d,0.016957967220379063,return_1d
Silver,CatBoost,volatility_30d,0.02062844997905506,return_1d
Silver,CatBoost,rv_1d,0.06854011121319949,return_1d
Silver,CatBoost,rv_5d,0.018056652377150297,return_1d
Silver,CatBoost,rv_22d,0.01688930454824839,return_1d
Silver,CatBoost,ewma_vol,0.02820622197021617,return_1d
Silver,CatBoost,dxy_return,0.011591475208542285,return_1d
Silver,CatBoost,oil_return,0.05329157065280181,return_1d
Silver,CatBoost,tnx_return,0.025269663500649797,return_1d
Silver,CatBoost,sp500_return,0.0283685403543896,return_1d
Silver,CatBoost,vix_return,0.010402886139323265,return_1d
Silver,CatBoost,gold_return,0.05352764003875587,return_1d
