asset,model,n_folds,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
Bitcoin,Naive,4,0.03159884409514174,0.006903999673462614,0.02129546730444969,0.0041497066097361986,-0.004798991369999506,0.0033870755823603824,1429.076512444895,434.50094597067294,0.0,0.0
Bitcoin,Naive-Mean,4,0.031634695741122654,0.006942295625006787,0.02132725887315328,0.004175603030256458,-0.006617609638784661,0.00353169188778238,1430.9479775071145,435.03942451488405,48.797250859106526,1.616399288851098
Bitcoin,ARIMA,4,0.031642347235521284,0.006951579336196047,0.02134921274877881,0.004223776271242884,-0.006985863284927674,0.004239836567356602,1431.8003856332316,436.6233561288272,48.10996563573883,2.393193862059127
Bitcoin,Ridge,4,0.0316091152110353,0.0069327360547515,0.0213539772454965,0.0041409868134326,-0.0050659360709116,0.0028304000986517,1430.3374704061653,435.8112620559553,49.355670103092784,1.899286165758948
Bitcoin,RandomForest,4,0.0316026972329826,0.0068848366109457,0.0214037989159099,0.0041626459504669,-0.0053638065159813,0.0055528755886645,1432.9017239814366,433.8170487349206,49.95704467353952,2.400507217808912
Bitcoin,LightGBM,4,0.0315830645335837,0.0069246089997678,0.0213950644224234,0.0041981368288969,-0.0034433166763252,0.0041232065529315,1430.516098451288,432.69011350690334,51.15979381443299,1.7369043487247189
Bitcoin,CatBoost,4,0.0315578218484618,0.0069538898170107,0.021358051704254,0.0041469633512391,-0.001305790662265,0.0056993637785692,1427.0661681228312,434.1704505768617,50.2147766323024,2.316005252011782
Bitcoin,GRU,4,0.0316752475718184,0.0069653707299383,0.0213605475225161,0.0041839508664125,-0.0089681590200281,0.0047865347060397,1432.612005602854,435.6322208274637,49.39862542955326,0.9832923661735036
Bitcoin,LSTM,4,0.0316957862245472,0.0069713264839245,0.0214183577197549,0.0042356757628561,-0.0102657956914344,0.0050272922172374,1433.093483971224,436.33227918155217,48.797250859106526,0.7084373927178116
Gold,Naive,4,0.01114423540467599,0.0022484921421794452,0.007901542829764876,0.0012941217178574242,-0.0063308196346559265,0.00605369987714558,28.460690127059888,16.852256131455132,0.0,0.0
Gold,Naive-Mean,4,0.011130670263527747,0.002233956481380937,0.00786937191347141,0.0012731968011437218,-0.004244413255678259,0.003536344455925641,28.42583943584448,16.799920220257928,55.765694271571306,2.8812582353881173
Gold,ARIMA,4,0.011230350282897358,0.0021874492650822887,0.00796315763620522,0.0012180418811961445,-0.024840353340608246,0.012266399261636148,28.643311160289663,16.82633066057832,50.50925001761349,2.585350716725544
Gold,Ridge,4,0.0111239565788853,0.002229163350829,0.0078685764337682,0.0012769468150087,-0.0031365466069925,0.0027228230124683,28.39702522626648,16.760468673534174,54.75527360925192,1.97818030135693
Gold,RandomForest,4,0.0111629932806667,0.0021964316349251,0.0079073718170364,0.0012443529340009,-0.0116705212511426,0.0177810993687252,28.454497089356398,16.70666623028698,51.89409432741259,3.075203938665348
Gold,LightGBM,4,0.0111311350991089,0.0022291373370073,0.0078672456995639,0.0012692285384649,-0.004491031835557,0.0035226000125762,28.4229314023314,16.785904186871022,55.765694271571306,2.8812582353881173
Gold,CatBoost,4,0.0111048531494073,0.0021928101488965,0.0078588546151139,0.0012580569585368,-0.0007379292548761,0.0046891376923626,28.28805990681988,16.546006199123177,54.81936877167438,1.689961601308797
Gold,GRU,4,0.0111427814321209,0.0022165896851183,0.0079114410686669,0.001255061677158,-0.0071973871710022,0.0054652030729338,28.448765393221723,16.76793940592895,51.05841579055865,5.827794886112769
Gold,LSTM,4,0.0111580899513117,0.0022317067939671,0.0079323983307597,0.0012992254528355,-0.0095750715796743,0.0065118142267189,28.492695170103367,16.84184186578711,46.95666298740439,2.625532838629248
Silver,Naive,4,0.023913673284780813,0.006244986169924442,0.0159633817873993,0.002652561543090402,-0.0020061411927839168,0.0018425248006157784,1.002054746911631,0.8899012268927351,0.0,0.0
Silver,Naive-Mean,4,0.02391039270870074,0.006231503637485905,0.015944557255264735,0.00263419936600912,-0.0019923877278569257,0.0014353696511499104,1.0021258634856052,0.8896603581414766,53.47589822273366,2.9358103653010335
Silver,ARIMA,4,0.02409558684306415,0.006131501535191126,0.016187908134774668,0.0025647228420188684,-0.0209221365527279,0.012908914498556613,1.0036021537375421,0.8858913666962069,50.18907428717556,0.7714543054947555
Silver,Ridge,4,0.023925216862061,0.0062526687670159,0.0159338670482363,0.0026217108313176,-0.0028792150166915,0.0023619522999769,1.004067755721807,0.8930862035824244,53.28602480501215,1.6983586523073422
Silver,RandomForest,4,0.0239594885519382,0.0061907019015337,0.0159605992307874,0.0025899668543075,-0.0072542610771592,0.0037083231875158,1.0051908745497014,0.8922714299093398,51.07339214934152,3.9332241828049863
Silver,LightGBM,4,0.0238949797819478,0.0062461249915193,0.0159206097987875,0.0026497123680572,-0.0003271482798045,0.0037959025575651,1.0024624508316131,0.8909094320102234,53.287463239994885,2.119415719268995
Silver,CatBoost,4,0.0239089101851798,0.0062324427944211,0.0159356642852823,0.0026330401098565,-0.0018194845643037,0.00144204683979,1.0022640053698977,0.8899742897790764,53.475418744406085,2.838240283383094
Silver,GRU,4,0.0238712465504303,0.0062451901757404,0.0159195508831114,0.0026042650484059,0.0016822080274794,0.0038477589649116,1.0030255924452989,0.8930611862250882,52.33857562971487,3.593999649654916
Silver,LSTM,4,0.0239263822151537,0.0062516314924267,0.0159468656698619,0.0026194951710573,-0.0031111634414558,0.0036451672739275,1.0049515846641566,0.8943658238218294,51.20237181946043,1.3706515202171703
