asset,model,n_folds,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
Bitcoin,Naive,4,0.03159884409514174,0.006903999673462614,0.02129546730444969,0.0041497066097361986,-0.004798991369999506,0.0033870755823603824,1429.076512444895,434.50094597067294,0.0,0.0
Bitcoin,Naive-Mean,4,0.031634695741122654,0.006942295625006787,0.02132725887315328,0.004175603030256458,-0.006617609638784661,0.00353169188778238,1430.9479775071145,435.03942451488405,48.797250859106526,1.616399288851098
Bitcoin,ARIMA,4,0.031642347235521284,0.006951579336196047,0.02134921274877881,0.004223776271242884,-0.006985863284927674,0.004239836567356602,1431.8003856332316,436.6233561288272,48.10996563573883,2.393193862059127
Bitcoin,Ridge,4,0.0316091152110353,0.0069327360547515,0.0213539772454965,0.0041409868134326,-0.0050659360709116,0.0028304000986517,1430.3374704061653,435.8112620559553,49.355670103092784,1.899286165758948
Bitcoin,RandomForest,4,0.0316026972329826,0.0068848366109457,0.0214037989159099,0.0041626459504669,-0.0053638065159814,0.0055528755886645,1432.9017239814366,433.8170487349206,49.95704467353952,2.400507217808912
Bitcoin,LightGBM,4,0.0315830645335837,0.0069246089997678,0.0213950644224234,0.0041981368288969,-0.0034433166763252,0.0041232065529315,1430.516098451288,432.69011350690334,51.15979381443299,1.7369043487247189
Bitcoin,CatBoost,4,0.0315578218484618,0.0069538898170107,0.021358051704254,0.0041469633512391,-0.001305790662265,0.0056993637785692,1427.0661681228312,434.1704505768617,50.2147766323024,2.316005252011782
Bitcoin,GRU,4,0.0316752475718184,0.0069653707299383,0.0213605475225161,0.0041839508664125,-0.0089681590200281,0.0047865347060397,1432.612005602854,435.6322208274637,49.39862542955326,0.9832923661735036
Bitcoin,LSTM,4,0.0316957862245472,0.0069713264839245,0.0214183577197549,0.0042356757628561,-0.0102657956914344,0.0050272922172374,1433.093483971224,436.33227918155217,48.797250859106526,0.7084373927178116
Gold,Naive,4,0.01114423540467599,0.0022484921421794452,0.007901542829764876,0.0012941217178574242,-0.0063308196346559265,0.00605369987714558,28.460690127059888,16.852256131455132,0.0,0.0
Gold,Naive-Mean,4,0.011130670263527747,0.002233956481380937,0.00786937191347141,0.0012731968011437218,-0.004244413255678259,0.003536344455925641,28.42583943584448,16.799920220257928,55.765694271571306,2.8812582353881173
Gold,ARIMA,4,0.011230350282897358,0.0021874492650822887,0.00796315763620522,0.0012180418811961445,-0.024840353340608246,0.012266399261636148,28.643311160289663,16.82633066057832,50.50925001761349,2.585350716725544
Gold,Ridge,4,0.0111212024603444,0.0022142042192447,0.0078745686227181,0.0012755487913118,-0.0031190183416826,0.0075251121706358,28.344813307296764,16.66274018547223,52.09619281160872,1.653853648827992
Gold,RandomForest,4,0.0111442968054673,0.0021732218234459,0.0079158397823171,0.0012371024191033,-0.0088208334692216,0.01182962253972,28.38310428265554,16.567406744984606,53.2251701984975,4.188386749761064
Gold,LightGBM,4,0.011120858351396,0.0022336416769674,0.0078845373699036,0.0012682878950875,-0.002413748614679,0.004913160453938,28.409462400029582,16.83059911484579,52.60335530453071,2.2213897160461293
Gold,CatBoost,4,0.0111226391914627,0.0022285075888644,0.0078688954309409,0.0012743223080405,-0.0029477527182385,0.0036528995853915,28.40324288464338,16.781831162856925,55.70433572354911,2.7667118073311885
Gold,GRU,4,0.0111355698335007,0.002208806766639,0.0078981928952344,0.0012380951280733,-0.006131529446795,0.0061886189474325,28.433375564725097,16.744445611263505,51.82953436457053,4.837606809010651
Gold,LSTM,4,0.0111449685792359,0.0022372378707091,0.0079193084005018,0.0012992971382194,-0.0068988975243338,0.0060008241176248,28.465782754381745,16.836740341774256,47.33479199121152,3.066712988229286
Silver,Naive,4,0.023913673284780813,0.006244986169924442,0.0159633817873993,0.002652561543090402,-0.0020061411927839168,0.0018425248006157784,1.002054746911631,0.8899012268927351,0.0,0.0
Silver,Naive-Mean,4,0.02391039270870074,0.006231503637485905,0.015944557255264735,0.00263419936600912,-0.0019923877278569257,0.0014353696511499104,1.0021258634856052,0.8896603581414766,53.47589822273366,2.9358103653010335
Silver,ARIMA,4,0.02409558684306415,0.006131501535191126,0.016187908134774668,0.0025647228420188684,-0.0209221365527279,0.012908914498556613,1.0036021537375421,0.8858913666962069,50.18907428717556,0.7714543054947555
Silver,Ridge,4,0.0239116569344981,0.0062471136336599,0.01592359221368,0.0026217482619246,-0.0017561243260534,0.0022110180100441,1.0033142440478122,0.8921049992455037,53.28634445723053,1.6414654343669348
Silver,RandomForest,4,0.0239608719535976,0.0061929333841745,0.0159506134666143,0.0025846313420643,-0.0071886704403476,0.0047607056032583,1.0040993496059838,0.8897771238270776,51.70614371563739,2.627852833824917
Silver,LightGBM,4,0.0238477420874875,0.0062199790610585,0.0158908809773729,0.0026397290631192,0.0035299017745854,0.0074052713995129,0.9986734427322436,0.884768017939877,52.84522439585731,2.255319110510279
Silver,CatBoost,4,0.0238939367223126,0.0061718729480083,0.0159553402751453,0.0026393848265915,-0.0016492162839756,0.0048224382918103,0.9997281140671768,0.8841901035319399,51.1373225930188,1.0224832584091073
Silver,GRU,4,0.0238913037323294,0.0062321175769538,0.0159459663064411,0.0026146970275302,-0.0003449755579815,0.0029835440022834,1.0029008638231511,0.8915847246872968,51.32367983633807,3.7008412396720263
Silver,LSTM,4,0.0239205652232682,0.0062617831518114,0.0159405515969922,0.0026332255331395,-0.0023701705785816,0.0042849358976824,1.005037471366061,0.8948174589872115,51.07531006265184,0.7833334418328308
