asset,n_days_total,n_days_train,start,end,adf_price_p,price_stationary,adf_return_p,return_stationary,ret_mean_pct,ret_std_pct,ret_skew,ret_excess_kurtosis,acf_lag1,acf_lag2,acf_lag5,share_abs_ret_gt_2pct
Bitcoin,1067,746,2023-08-27,2026-07-28,0.7399262287256492,False,0.0,True,0.198040858769836,2.505268065109121,0.3319463672908291,2.302430960914811,-0.08207327443716968,0.030682814966313747,0.0037704512800241213,32.975871313672926
Gold,724,504,2023-09-11,2026-07-28,0.980911210717573,False,0.0,True,0.12727791918120493,1.0277054565145143,-0.42623894993807837,1.3589400313929278,-0.04041314711818895,0.021249512397150994,-0.009139697112531719,5.753968253968254
Silver,724,504,2023-09-11,2026-07-28,0.9378911907271845,False,2.9643720627919634e-15,True,0.11627444280436179,1.8416742719258337,-0.4579685158192897,2.2538513286891364,0.004262439333764874,0.001509437926791836,0.009641321531937913,21.03174603174603
