asset,model,n_folds,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,DirAcc_pct_mean,DirAcc_pct_std,RMSE_usd_mean,RMSE_usd_std
Bitcoin,Naive-Zero,4,0.025041944563270843,0.002464508826885635,0.01778466831712978,0.002083751542045777,-0.0066228691060511435,0.00481328624166901,0.0,0.0,2068.387406890081,200.01829569342564
Bitcoin,Naive-Mean,4,0.02521802611578823,0.002592358959870374,0.01807436652820752,0.002189169446009096,-0.020044481176010376,0.017103442415056305,49.857142857142854,1.6350747346085137,2087.9115044710506,196.9533418505263
Bitcoin,ARIMA,4,0.025190196013501014,0.0026903072105636007,0.01806365445159707,0.002261650594507038,-0.016937900791318655,0.020898938158012827,49.42857142857143,3.344199974491322,2086.088323048564,197.41132711765098
Bitcoin,Ridge,4,0.0252497254114836,0.0026456346342787,0.0180748350202532,0.002242571641745,-0.0222116501847378,0.0199836265883571,49.85714285714285,1.6350747346085135,2089.0581646052105,196.26313691817884
Bitcoin,RandomForest,4,0.0255502900284747,0.0026584694983544,0.0182173885302542,0.0021465202377006,-0.0469828435228426,0.0318543711482631,47.71428571428572,1.6903085094570327,2116.975735584876,212.29836628713872
Bitcoin,LightGBM,4,0.0252121595654171,0.0026151384756374,0.0180239482328499,0.0022362374758749,-0.0193764605293036,0.0173262604822518,49.85714285714285,1.6350747346085135,2085.723523599836,194.3167608489886
Bitcoin,CatBoost,4,0.0252060217202476,0.0026021105313185,0.0180170774843938,0.0022344733755375,-0.0189650482037837,0.0168540123637562,49.85714285714285,1.6350747346085135,2084.703752132781,196.30135084492213
Bitcoin,GRU,4,0.0266403704214278,0.0031032080360144,0.0193997986028731,0.0025152262207265,-0.1354625300428594,0.0487345994541942,50.57142857142858,2.1946130708196026,2180.053079541626,198.0787930608929
Bitcoin,LSTM,4,0.0262691256635372,0.0036289116612,0.0192219242520277,0.0030913235982289,-0.1029223656306239,0.1064074233262562,47.71428571428572,2.6954231805875994,2156.479377466372,132.87297656962411
Gold,Naive-Zero,4,0.013258148987096544,0.0040823775416590396,0.009582186085053332,0.0021114697022000996,-0.013426404652065904,0.005197865790669791,0.0,0.0,46.60214902945965,27.354357166726388
Gold,Naive-Mean,4,0.013179979566647047,0.004043722269249831,0.009433332765121066,0.0020534968430063845,-0.002010507094849512,0.002872641258329721,58.83620689655172,3.825051583900617,46.368125044736445,27.21070047434888
Gold,ARIMA,4,0.013367378789154132,0.004329597689720047,0.009795768062363694,0.00274848577013498,-0.022107413759043737,0.03347453743155364,52.80172413793103,7.324416149985531,47.014848965581834,28.250065903198106
Gold,Ridge,4,0.0131558382602966,0.0040247455393904,0.0094373856241744,0.0021371304356022,0.001152740713833,0.0028697245376602,57.11206896551724,1.866434059880257,46.23466956508301,27.05839125528895
Gold,RandomForest,4,0.0131648101917024,0.0041071391440026,0.0094276192116427,0.0021754708379482,0.0032578512232618,0.0170455653945185,56.25,2.9471539506847715,46.31243498271343,27.302303653034546
Gold,LightGBM,4,0.0131768132492443,0.0040597584096117,0.0093616092309592,0.0020925093904698,-0.0009227792873239,0.0072607639270178,58.83620689655173,2.683168016807916,46.369824169170606,27.27498398148504
Gold,CatBoost,4,0.0131189345639205,0.0040648947866894,0.0093104262407719,0.002127762407737,0.0090192298391554,0.0177175277701625,58.83620689655173,4.775543061672487,46.18204137013928,27.16940302863507
Gold,GRU,4,0.0137911841393276,0.0037167944358244,0.0101062876464763,0.0020400178852669,-0.1208015286797746,0.13120592965564,48.27586206896552,3.225566712736156,47.91379936460146,25.34432095848122
Gold,LSTM,4,0.0139644061655148,0.0036346407111276,0.009891409328377,0.0017483395799358,-0.1667861383639146,0.2067973223952225,56.03448275862068,6.364147870790258,48.41410210063218,26.132087236939125
Silver,Naive-Zero,4,0.02805012908527011,0.014968009580705103,0.019098559669753046,0.008314283765415861,-0.004691556769043481,0.00330368679384721,0.0,0.0,1.6114015153338714,1.72670163344441
Silver,Naive-Mean,4,0.028011934373652844,0.014944404957954694,0.01899217740773129,0.008251011097384995,-0.0020222085376168097,0.002599550483301755,57.54310344827586,3.247094649422276,1.610679066853434,1.7266758128152702
Silver,ARIMA,4,0.02896772528427831,0.01613295306270596,0.02053878420748059,0.01056275634135215,-0.05364050409311999,0.054528602391773484,50.0,7.289454536761966,1.6442592581257889,1.7706157751415597
Silver,Ridge,4,0.0279710974244488,0.0149400896317606,0.0190565237212544,0.0085156570345155,0.001551519572933,0.0041688185847629,53.87931034482759,4.500132115909721,1.6027576880405268,1.7152034677266554
Silver,RandomForest,4,0.0281332736251342,0.0149335923466871,0.0192521007715201,0.008418666222325,-0.0132382626155262,0.0060087590952652,50.86206896551724,4.437771612494396,1.6110391222762106,1.7212379520639465
Silver,LightGBM,4,0.0279817831782916,0.0149327813337939,0.0189877057475763,0.0083394962223839,1.3804329944605565e-05,0.0049925175864447,52.58620689655173,3.606293217819293,1.6077067380023085,1.72305833517092
Silver,CatBoost,4,0.0279683476547312,0.0149749654727994,0.0190054038770154,0.0083256509940278,0.0024433296014134,0.0064723977062725,54.52586206896552,2.751539942845626,1.6079084697753725,1.7257198044937705
Silver,GRU,4,0.031209504309265,0.017182014770486,0.0209945028113044,0.008635814028099,-0.2239826361550644,0.1034777932081655,56.03448275862068,3.997249351506768,1.8349462425345568,1.999956395619554
Silver,LSTM,4,0.0296492617497777,0.0153454342046071,0.0210183788886734,0.0091357716594756,-0.1384767343923449,0.0334125851920873,43.53448275862069,2.621880400990612,1.6673400256110291,1.7541860425811884
