config_id,p_iterations,p_learning_rate,p_depth,p_l2_leaf_reg,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
1,800,0.01,3,10.0,0.023908910185179877,0.006232442794421126,0.01593566428528239,0.0026330401098565714,-0.0018194845643037527,0.001442046839790085,1.0022640053698977,0.8899742897790764,53.475418744406085,2.838240283383094
0,800,0.01,3,3.0,0.023916806217632775,0.006235463422326355,0.01593746368082407,0.0026314468241235276,-0.0024571156084882695,0.0015740826906760074,1.002767313314148,0.8905884491250701,52.52749009078123,2.6856029841278994
7,800,0.03,3,10.0,0.023920339545774303,0.006247972358666957,0.015926899975667794,0.002635389230269602,-0.002486656878854382,0.0022771020593335667,1.0036355649624726,0.8922032427764913,51.64221327196011,3.4726568411139414
4,800,0.01,7,3.0,0.023921804087232122,0.006258792319373326,0.01592963495389435,0.002652479379028034,-0.00244030193358713,0.0034012023708351823,1.0050023494343583,0.8946561304435158,52.40250607339215,1.8737909980678784
10,800,0.03,7,3.0,0.023938066727316763,0.006217388823031692,0.015923809857791533,0.0026629106035990268,-0.004782182768874987,0.0025727101425862212,1.0031599006855836,0.8895639177540514,52.14838255977496,1.1541374789463172
11,800,0.03,7,10.0,0.023952759040262832,0.006216129898600885,0.01592999339581952,0.002626811624432463,-0.0062286077755462355,0.004773820422606473,1.0054066620071294,0.892646987050463,52.844425265311344,1.3468930276839264
5,800,0.01,7,10.0,0.024008763699437108,0.006281375958372527,0.01598635739512899,0.002676518136226876,-0.009361735701275964,0.011776149475311238,1.0052417901998763,0.8911097866826216,52.46419895154072,2.0364232021486717
3,800,0.01,5,10.0,0.02404426502201504,0.006276042305637362,0.016026818506568744,0.0027004622697781966,-0.012545869124746256,0.016685859621187148,1.0047183606083299,0.8886425609267968,52.02180028129395,2.121704620361298
2,800,0.01,5,3.0,0.02411784511987183,0.006324336702153528,0.016082604563631135,0.002757625651067774,-0.0180031127403536,0.02597868541715894,1.0068561753243488,0.8892936506298906,52.5258918296893,2.582496801086306
6,800,0.03,3,3.0,0.024165389626588624,0.00608723919985342,0.016145578989808583,0.0025035132062199944,-0.028508160652901515,0.03711925108214388,1.0107158381621253,0.8918366071349685,50.88239994885565,3.4227467078694422
9,800,0.03,5,10.0,0.02422397159816909,0.006360794293223082,0.016221945824913077,0.002861270306934757,-0.02675788905480342,0.041731793217638966,1.0077304382991619,0.8863845038915129,52.96892980437284,2.011907263452973
8,800,0.03,5,3.0,0.024337316790947215,0.006412935218419394,0.016249775769007647,0.0028857304082267137,-0.03602603041212066,0.05121318609901675,1.0134221240270724,0.8899801155464327,51.70598388952819,0.7798452260757767
