config_id,p_n_estimators,p_learning_rate,p_num_leaves,p_min_child_samples,p_subsample,p_colsample_bytree,p_reg_lambda,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,DirAcc_pct_mean,DirAcc_pct_std,RMSE_usd_mean,RMSE_usd_std
12,400,0.03,4,20,0.8,0.8,0.0,0.013176813249244353,0.004059758409611793,0.00936160923095922,0.0020925093904698424,-0.0009227792873239826,0.007260763927017875,58.83620689655173,2.683168016807916,46.369824169170606,27.274983981485036
0,400,0.01,4,20,0.8,0.8,0.0,0.013178021220703263,0.004045818333066275,0.009360427137230459,0.002079502194049888,-0.0016517799409520306,0.00369004070539944,58.83620689655172,3.825051583900617,46.35739691262725,27.21641607833932
4,400,0.01,8,20,0.8,0.8,0.0,0.013184226607384594,0.004043553807412494,0.009377714646052426,0.002087023381130067,-0.002577636840725428,0.0043338906376168785,58.83620689655172,3.57394912753815,46.37651373528429,27.191352008230357
14,400,0.03,4,50,0.8,0.8,0.0,0.01318535618268002,0.004045068341020056,0.00939127649118063,0.0020888093433265855,-0.0028233228940461597,0.0050014582433398815,58.62068965517241,3.501740691653433,46.3652293861363,27.187583173031133
16,400,0.03,8,20,0.8,0.8,0.0,0.013186623110990496,0.004020713640263572,0.00938970822318783,0.0020970740906979674,-0.0037934748545458974,0.005435677485004034,59.05172413793104,2.8914672122842116,46.35597169771184,27.068968131860213
15,400,0.03,4,50,0.8,0.8,5.0,0.013187302387206487,0.004045629271426721,0.009400504962196497,0.002086667287523248,-0.003127075237457616,0.005348203730161404,59.05172413793104,3.366486929270113,46.37543341975071,27.196418826041878
1,400,0.01,4,20,0.8,0.8,5.0,0.013189292223079695,0.004051340436122674,0.00938859803015897,0.002086628004789034,-0.0031879302129976528,0.003781067818881225,59.05172413793104,3.5804413202233123,46.397095279058505,27.231261566598935
13,400,0.03,4,20,0.8,0.8,5.0,0.013189633983898302,0.0040530458761291995,0.009393110567166886,0.002094151540824038,-0.0031602231444925466,0.0045662876776274616,59.05172413793104,3.5804413202233123,46.39304040871268,27.22135146150989
17,400,0.03,8,20,0.8,0.8,5.0,0.013191276435731307,0.004048638734659166,0.009374593975906256,0.0021003345473668573,-0.0034818483590686733,0.005963308088368651,58.83620689655172,3.57394912753815,46.38562779318099,27.1816460570572
19,400,0.03,8,50,0.8,0.8,5.0,0.013201548151709415,0.004047411748360312,0.009409302542174876,0.0020935173277683134,-0.0052424015977474425,0.006346593729279694,58.4051724137931,4.0606559658225825,46.42044918454957,27.19427781950047
23,400,0.03,15,50,0.8,0.8,5.0,0.013201548151709415,0.004047411748360312,0.009409302542174876,0.0020935173277683134,-0.0052424015977474425,0.006346593729279694,58.4051724137931,4.0606559658225825,46.42044918454957,27.19427781950047
2,400,0.01,4,50,0.8,0.8,0.0,0.013203763084397947,0.00403848251329009,0.009407117840650608,0.002080376493820383,-0.006073810975065375,0.004222017152894311,57.11206896551724,4.7364786585853285,46.42442336238895,27.17683219612755
7,400,0.01,8,50,0.8,0.8,5.0,0.01320562972593996,0.004042578146398618,0.009401948012206278,0.002070746619397669,-0.006201531353151296,0.0040648602469678255,57.11206896551724,4.7364786585853285,46.44235899795282,27.207596361853547
11,400,0.01,15,50,0.8,0.8,5.0,0.01320562972593996,0.004042578146398618,0.009401948012206278,0.002070746619397669,-0.006201531353151296,0.0040648602469678255,57.11206896551724,4.7364786585853285,46.44235899795282,27.207596361853547
22,400,0.03,15,50,0.8,0.8,0.0,0.013205718774320318,0.004063535344142744,0.009405375047247564,0.0020962321582274723,-0.005353109094008962,0.006475424045256156,58.4051724137931,4.966258026639188,46.452317570979076,27.275437529152118
18,400,0.03,8,50,0.8,0.8,0.0,0.013205718774320318,0.004063535344142744,0.009405375047247564,0.0020962321582274723,-0.005353109094008962,0.006475424045256156,58.4051724137931,4.966258026639188,46.452317570979076,27.275437529152118
5,400,0.01,8,20,0.8,0.8,5.0,0.013206105858859517,0.00403425723443646,0.009382732068281135,0.0020770935369031013,-0.006643221385124021,0.002750753032450702,58.83620689655172,3.57394912753815,46.44782011094027,27.175903044343915
6,400,0.01,8,50,0.8,0.8,0.0,0.013207303231109142,0.004039955955092087,0.009401596171480665,0.0020702403258590534,-0.006567794723745191,0.004442339296385353,57.32758620689655,4.500132115909723,46.44473242655852,27.195308209576254
10,400,0.01,15,50,0.8,0.8,0.0,0.013207303231109142,0.004039955955092087,0.009401596171480665,0.0020702403258590534,-0.006567794723745191,0.004442339296385353,57.32758620689655,4.500132115909723,46.44473242655852,27.195308209576254
8,400,0.01,15,20,0.8,0.8,0.0,0.013211305079185115,0.0040359203499450245,0.0093891581748293,0.0020837723416049204,-0.007079893691958744,0.008622532516935757,58.62068965517242,3.806793476865454,46.4509852281917,27.151637283708705
3,400,0.01,4,50,0.8,0.8,5.0,0.013212880927815297,0.004042483026924077,0.009407810700152015,0.0020760503063818217,-0.007311699608731431,0.0049552281737260595,56.89655172413793,4.989584871892342,46.45757199621583,27.192073594851347
21,400,0.03,15,20,0.8,0.8,5.0,0.01321904023229423,0.004051084822991001,0.009370975174188627,0.0020895375447121996,-0.007673917624678589,0.011345963013345006,58.189655172413794,3.732868119760512,46.477880973791464,27.191788758026693
9,400,0.01,15,20,0.8,0.8,5.0,0.01324297929812731,0.004034289461511792,0.00938145975364747,0.0020767194928060346,-0.012357317216985686,0.00972330193097687,57.974137931034484,4.326478426699299,46.56060834519404,27.161968386638602
20,400,0.03,15,20,0.8,0.8,0.0,0.013243787552092098,0.0040397257495643725,0.009406737060822972,0.0021174958598924646,-0.011867890565584266,0.021821621660835764,56.46551724137931,3.366486929270108,46.54471486856804,27.10686323458725
