asset,model,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std,best_params
Bitcoin,Ridge,0.03160911521103536,0.006932736054751594,0.021353977245496515,0.0041409868134326035,-0.0050659360709116585,0.002830400098651712,1430.3374704061653,435.8112620559553,49.355670103092784,1.899286165758948,"{""alpha"": 100.0}"
Bitcoin,RandomForest,0.03160269723298263,0.00688483661094579,0.02140379891590994,0.004162645950466978,-0.005363806515981423,0.005552875588664585,1432.9017239814366,433.8170487349206,49.957044673539514,2.400507217808912,"{""n_estimators"": 300, ""max_depth"": 3, ""min_samples_leaf"": 30}"
Bitcoin,LightGBM,0.03158306453358378,0.006924608999767801,0.02139506442242345,0.004198136828896973,-0.0034433166763252754,0.004123206552931547,1430.5160984512881,432.69011350690334,51.15979381443299,1.7369043487247187,"{""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.0}"
Bitcoin,CatBoost,0.03155782184846183,0.006953889817010703,0.02135805170425406,0.004146963351239157,-0.0013057906622650772,0.005699363778569267,1427.0661681228312,434.1704505768617,50.2147766323024,2.316005252011782,"{""iterations"": 800, ""learning_rate"": 0.03, ""depth"": 7, ""l2_leaf_reg"": 3.0}"
Bitcoin,GRU,0.031675247571818464,0.006965370729938355,0.021360547522516194,0.004183950866412578,-0.008968159020028121,0.004786534706039739,1432.612005602854,435.63222082746364,49.39862542955326,0.9832923661735037,"{""units"": 32, ""dropout"": 0.4, ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 40, ""patience"": 6}"
Bitcoin,LSTM,0.03169578622454729,0.006971326483924581,0.02141835771975495,0.004235675762856126,-0.010265795691434487,0.005027292217237489,1433.093483971224,436.33227918155217,48.797250859106526,0.7084373927178116,"{""units"": 32, ""dropout"": 0.4, ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 40, ""patience"": 6}"
Gold,Ridge,0.011121202460344499,0.0022142042192447495,0.007874568622718122,0.0012755487913118588,-0.0031190183416826,0.007525112170635816,28.344813307296764,16.66274018547223,52.09619281160872,1.653853648827992,"{""alpha"": 10.0}"
Gold,RandomForest,0.011144296805467385,0.002173221823445964,0.007915839782317132,0.001237102419103368,-0.008820833469221606,0.011829622539720024,28.38310428265554,16.567406744984606,53.2251701984975,4.188386749761064,"{""n_estimators"": 300, ""max_depth"": 3, ""min_samples_leaf"": 10}"
Gold,LightGBM,0.011120858351396045,0.002233641676967489,0.007884537369903664,0.0012682878950875042,-0.0024137486146790232,0.004913160453938078,28.409462400029582,16.83059911484579,52.60335530453071,2.2213897160461293,"{""n_estimators"": 600, ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.0}"
Gold,CatBoost,0.011122639191462783,0.002228507588864475,0.007868895430940914,0.0012743223080405408,-0.00294775271823855,0.0036528995853915857,28.40324288464338,16.781831162856925,55.70433572354911,2.7667118073311885,"{""iterations"": 800, ""learning_rate"": 0.01, ""depth"": 5, ""l2_leaf_reg"": 3.0}"
Gold,GRU,0.011135569833500739,0.0022088067666390966,0.007898192895234416,0.001238095128073367,-0.006131529446795042,0.00618861894743251,28.433375564725097,16.744445611263505,51.829534364570534,4.837606809010651,"{""units"": 32, ""dropout"": 0.4, ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 40, ""patience"": 6}"
Gold,LSTM,0.011144968579235966,0.0022372378707091606,0.007919308400501843,0.0012992971382194264,-0.006898897524333841,0.006000824117624836,28.465782754381742,16.836740341774256,47.334791991211524,3.066712988229286,"{""units"": 32, ""dropout"": 0.4, ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 40, ""patience"": 6}"
