config_id,p_iterations,p_learning_rate,p_depth,p_l2_leaf_reg,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
10,800,0.03,7,3.0,0.03155782184846183,0.006953889817010703,0.02135805170425406,0.004146963351239157,-0.0013057906622650772,0.005699363778569267,1427.0661681228312,434.1704505768617,50.2147766323024,2.316005252011782
9,800,0.03,5,10.0,0.03159526740374075,0.0069545230129234555,0.021354469441126483,0.0041505758559343625,-0.003830959686183244,0.008150121252439442,1429.0590466810168,432.54408249553245,49.269759450171826,1.4749385492602578
0,800,0.01,3,3.0,0.031597841787229096,0.00696786719230608,0.021358754237246952,0.004140884487190694,-0.00379657966904276,0.006574792819843634,1429.8389847324215,433.5012169371184,48.10996563573883,0.5826743971757082
11,800,0.03,7,10.0,0.03160187468099362,0.006946521125695928,0.021380615327863138,0.004107261685732621,-0.004378542707929589,0.00620284544611826,1431.0140966808558,435.21150331881006,49.48453608247423,1.551157223820257
3,800,0.01,5,10.0,0.031606700373219804,0.00695559322525016,0.021330374560723602,0.004163888651478138,-0.004561306566381651,0.005233097110784932,1429.9095971414595,433.8093937362727,49.01202749140894,1.4799341217312905
5,800,0.01,7,10.0,0.03160993398806648,0.006954527019250856,0.021361713227520496,0.004140661950621278,-0.004794282200415972,0.005107453449595089,1430.4048371228,434.7285979843011,47.89518900343643,0.8792736035420426
6,800,0.03,3,3.0,0.03161635448430771,0.006958765770730048,0.021451613432997684,0.004271916952680846,-0.0051426668193142455,0.0064224429758818445,1433.1481162691198,435.43242675124856,49.14089347079038,1.0798801623691174
1,800,0.01,3,10.0,0.031636719390957246,0.006997683372951656,0.021431740722205654,0.004220373395023565,-0.006004241318828374,0.007357324552034217,1433.3965022820498,430.0819935115835,50.300687285223376,2.1814371006176323
4,800,0.01,7,3.0,0.03164824309964082,0.007053915521324506,0.02157557194424052,0.004317679889582444,-0.006005865704746899,0.010958532753043398,1434.3323295619798,429.05793066223526,50.77319587628866,1.7074404565594339
2,800,0.01,5,3.0,0.03165721967177011,0.007033821785395406,0.021499534167452018,0.004266588001028847,-0.006884123860358193,0.010150444611759691,1433.6834314906566,428.6781862946241,50.25773195876289,1.577109944216995
8,800,0.03,5,3.0,0.03170630217640791,0.007058309094310401,0.021524587455282008,0.0043407749390692,-0.009692937089048004,0.014574966450863775,1434.888993607401,432.9884282173885,49.44158075601374,1.5241576459802553
7,800,0.03,3,10.0,0.03229071144081124,0.007780837097688873,0.021985761848388397,0.0047637791875498265,-0.0408146473649052,0.06240071809683394,1454.1490945433075,414.0363443024952,50.128865979381445,2.1091896386925986
