config_id,p_iterations,p_learning_rate,p_depth,p_l2_leaf_reg,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
2,800,0.01,5,3.0,0.011122639191462783,0.002228507588864475,0.007868895430940914,0.0012743223080405408,-0.00294775271823855,0.0036528995853915857,28.40324288464338,16.781831162856925,55.70433572354911,2.7667118073311885
11,800,0.03,7,10.0,0.011123926009574563,0.0022175047778538533,0.007887753077796527,0.0012855949328811373,-0.003546680948367159,0.0022633033247430653,28.39605276506923,16.752777092043832,52.088791884225884,1.1779460222265938
4,800,0.01,7,3.0,0.01112510210505008,0.0022326318506549567,0.007867713372689551,0.0012809153721864957,-0.0032538370505376113,0.004018756192511051,28.41155711198455,16.800979521743432,54.75639239201626,1.188441158506649
3,800,0.01,5,10.0,0.011128036113784602,0.002233304104770007,0.007872674297038458,0.0012751177671302713,-0.003796946391091849,0.004180564228052537,28.419630516728105,16.808556924334276,55.636690138272414,2.6831188362101512
0,800,0.01,3,3.0,0.01112924687690525,0.0022343246279655045,0.007870291177826772,0.0012740049023713092,-0.003971405504893555,0.0036891058363370368,28.422186211662364,16.80236982853764,56.14705404601426,2.6777710205076772
1,800,0.01,3,10.0,0.01113138293451294,0.002234064333689744,0.00787658154144928,0.0012744197208740527,-0.004376366373104901,0.003494338134198684,28.42629155578203,16.800587150085853,55.510107859791404,2.7829602626365717
5,800,0.01,7,10.0,0.011131452438136864,0.002231582899392006,0.007877027283331707,0.0012763595987893251,-0.004435475414302448,0.002702031374813237,28.416956307434912,16.77940542493509,54.999743952049556,3.096812221782827
6,800,0.03,3,3.0,0.011137283094669707,0.0022366646837011705,0.007880815312213327,0.0012781269794099612,-0.005365490482079238,0.003100710092814062,28.435308598092163,16.797747122421843,55.06271054643568,3.0247836620859885
9,800,0.03,5,10.0,0.011142449864438573,0.002238478153052943,0.007890534375274885,0.001281882973551801,-0.006247393035322235,0.002932233568992547,28.446042724812315,16.8102925192619,54.6183841776066,3.5712498611956325
10,800,0.03,7,3.0,0.01114266594147282,0.002225517265763669,0.007888701741816731,0.001282849731664958,-0.006781145820217105,0.0035382696527038247,28.459329212803183,16.823504735234668,52.280108629566136,0.5410151626464312
8,800,0.03,5,3.0,0.011273960843842468,0.0021296077631853985,0.008005056125746257,0.0011989524406749697,-0.03608047746954979,0.05872873895379804,28.678731189001446,16.61008303104068,54.43899241706656,3.9236897701890343
7,800,0.03,3,10.0,0.01128123570865338,0.002140691079809951,0.008000309288041347,0.0012037912537247704,-0.03674799526386652,0.05177415063587518,28.686002410860873,16.63241101330194,53.48124098124098,4.340282968897123
