asset,model,cv_RMSE_logvol,cv_RMSE_logvol_std,cv_R2_logvol,cv_QLIKE,cv_DirAcc_volchange,RMSE_vs_persistence_pct
Bitcoin,Naive,0.44518310673584816,0.040252069427029843,-0.6462110694013736,0.5883352195219422,0.0,0.0
Bitcoin,EWMA,0.4107512878334066,0.047491366510854185,-0.3907899628665482,0.45780943923086354,61.69284467713787,-7.734304914420731
Bitcoin,Naive-Mean,0.42166414484707815,0.06249054600536723,-0.5362578444126676,0.3657108827401436,66.01221640488656,-5.282986153992841
Bitcoin,Ridge,0.3937727097394089,0.05075642378191483,-0.3268579036958994,0.3436826793348129,66.23036649214659,-11.548146418535122
Bitcoin,LightGBM,0.4058159315804811,0.03957178064449467,-0.40956830333228833,0.4177775902001394,64.92146596858639,-8.842917568012243
Bitcoin,CatBoost,0.4062090345917495,0.04351789887469981,-0.39866147861791634,0.4422173537054216,65.70680628272251,-8.754616146570026
Gold,Naive,0.36856519017593425,0.06952798642350921,-0.6100801931529936,0.3929950968264635,0.0,0.0
Gold,EWMA,0.3428109183147665,0.06853595321545623,-0.36718186119646984,0.326552055849856,61.01804123711341,-6.987711413786513
Gold,Naive-Mean,0.3862613709416096,0.1569829110472884,-0.5628983951149247,0.6822351025096921,69.39432989690722,4.801370622447587
Gold,Ridge,0.35751991854809567,0.1428731548981206,-0.37900301742010706,0.5486538819467862,70.36082474226805,-2.99682984781231
Gold,LightGBM,0.36800544554951264,0.13750376453399965,-0.44956142542565775,0.5480873533150034,69.3298969072165,-0.15187126764587555
Gold,CatBoost,0.35232964838515435,0.12497978942905938,-0.3537511523289374,0.4831266441162096,69.71649484536083,-4.405066518362699
Silver,Naive,0.3387686943163707,0.09288324928892232,-0.21584008939238786,0.3337350311758108,0.0,0.0
Silver,EWMA,0.3238968286383897,0.09281727203878083,-0.09954226995996607,0.3109173506548183,59.47164948453608,-4.389976384326822
Silver,Naive-Mean,0.4465982574306331,0.2487533002751618,-0.747009326090289,1.342448307446422,66.23711340206185,31.829848779817315
Silver,Ridge,0.4067442940117264,0.23258988587024895,-0.5574005569170064,0.9644648377650071,64.36855670103093,20.0654903584079
Silver,LightGBM,0.45377420169194693,0.23925680672429445,-0.8561048035329639,1.2994939881305432,64.43298969072166,33.94809181162839
Silver,CatBoost,0.40179788022580604,0.2240049429517152,-0.5496596506405964,0.9174275812410568,65.85051546391753,18.605374985025435
