asset,task,model,cv_RMSE_ret,cv_RMSE_ret_std,cv_R2_ret,cv_DirAcc,RMSE_vs_naive_pct
Bitcoin,return_1d,Naive,0.03159884409514174,0.006903999673462614,-0.004798991369999506,0.0,0.0
Bitcoin,return_1d,Naive-Mean,0.031634695741122654,0.006942295625006787,-0.006617609638784661,48.797250859106526,0.11345872612607
Bitcoin,return_1d,Ridge,0.03160911521103536,0.006932736054751594,-0.0050659360709116585,49.355670103092784,0.032504720307779955
Bitcoin,return_1d,LightGBM,0.03162468026123409,0.006918982932842108,-0.006275812056043495,49.7852233676976,0.08176301011062481
Bitcoin,return_1d,CatBoost,0.031597841787229096,0.00696786719230608,-0.00379657966904276,48.10996563573883,-0.003171976511640029
Bitcoin,return_5d,Naive,0.0697374830420852,0.015065374109011797,-0.02276908126587368,0.0,0.0
Bitcoin,return_5d,Naive-Mean,0.07012695011489326,0.015493760292072441,-0.031911518846369946,48.060344827586206,0.5584759526996663
Bitcoin,return_5d,Ridge,0.07001333160461023,0.015241918110726076,-0.030040608354029275,47.75862068965517,0.3955527938376724
Bitcoin,return_5d,LightGBM,0.0701079512514679,0.015277049079741195,-0.0326996013386715,49.13793103448276,0.5312325498744164
Bitcoin,return_5d,CatBoost,0.07071196550380388,0.01592498831099137,-0.047624103140442575,50.818965517241374,1.397358234352386
Gold,return_1d,Naive,0.01114423540467599,0.0022484921421794452,-0.0063308196346559265,0.0,0.0
Gold,return_1d,Naive-Mean,0.011130670263527747,0.002233956481380937,-0.004244413255678259,55.765694271571306,-0.1217233902161663
Gold,return_1d,Ridge,0.011121955443617104,0.002229482848566237,-0.0027505259839393226,54.691982470011396,-0.199923639889521
Gold,return_1d,LightGBM,0.01113213129937353,0.002235958803175962,-0.004403002247138965,53.797032909826754,-0.10861315166925678
Gold,return_1d,CatBoost,0.01112924687690525,0.0022343246279655045,-0.003971405504893555,56.14705404601426,-0.1344957929051871
Gold,return_5d,Naive,0.02389810470037612,0.004157313234773789,-0.0398933030238528,41.392405063291136,0.0
Gold,return_5d,Naive-Mean,0.02373136090936481,0.004005117741446934,-0.02662765675238904,58.607594936708864,-0.6977280964405863
Gold,return_5d,Ridge,0.023707547966382008,0.003963327374721486,-0.025058229955108202,58.291139240506325,-0.7973717430031724
Gold,return_5d,LightGBM,0.023754304915098376,0.003958700197173386,-0.02978478721736097,57.025316455696206,-0.6017204589261138
Gold,return_5d,CatBoost,0.023711465126350938,0.0039044389995366883,-0.026689609574190393,58.924050632911396,-0.7809806525044038
Silver,return_1d,Naive,0.023913673284780813,0.006244986169924442,-0.0020061411927839168,0.0,0.0
Silver,return_1d,Naive-Mean,0.02391039270870074,0.006231503637485905,-0.0019923877278569257,53.47589822273366,-0.013718411391705487
Silver,return_1d,Ridge,0.023911656934498177,0.006247113633659971,-0.0017561243260534043,53.286344457230534,-0.008431788201768153
Silver,return_1d,LightGBM,0.0239491701240236,0.006195698851882007,-0.006392075229132571,53.22417210075438,0.14843741829231316
Silver,return_1d,CatBoost,0.023967302757763626,0.006195490311596753,-0.007925814630313166,53.34915611814346,0.22426279870999544
Silver,return_5d,Naive,0.05202852137560837,0.011255701666572875,-0.012806023502647701,0.0,0.0
Silver,return_5d,Naive-Mean,0.05198024825950953,0.01110772232613225,-0.012001353383076674,55.54504272955086,-0.09278202574765082
Silver,return_5d,Ridge,0.0520051618674893,0.011241564657025008,-0.01191553385484534,54.78330013493542,-0.04489750525569214
Silver,return_5d,LightGBM,0.05191865791857283,0.010870662617651404,-0.011537341261898315,54.213679881770865,-0.21116006015702293
Silver,return_5d,CatBoost,0.05228342118229401,0.011409587065309939,-0.021792613742166456,54.469093362462246,0.4899232189311098
